Aalborg BK , Nantes,group,"Aalborg Stadion, Aalborg",0,2,1995-11-01 20:30:00+01:00
Panathinaikos , Porto,group,"Olympic Stadium, Athens",0,0,1995-11-01 21:30:00+01:00
Porto , Nantes,group,"Estádio das Antas, Porto",2,2,1995-11-22 20:30:00+01:00
Panathinaikos , Aalborg BK,group,"Olympic Stadium, Athens",2,0,1995-11-22 21:30:00+01:00
Nantes , Panathinaikos,group,"Stade de la Beaujoire, Nantes",0,0,1995-12-06 20:30:00+01:00
Aalborg BK , Porto,group,"Aalborg Stadion, Aalborg",2,2,1995-12-06 20:30:00+01:00
Legia Warsaw , Rosenborg,group,"Polish Army Stadium, Warsaw",3,1,1995-09-13 20:30:00+02:00
Blackburn Rovers , Spartak Moscow,group,"Ewood Park, Blackburn",0,1,1995-09-13 19:30:00+02:00
Spartak Moscow , Legia Warsaw,group,"Luzhniki Stadium, Moscow",2,1,1995-09-27 20:30:00+01:00
Rosenborg , Blackburn Rovers,group,"Lerkendal Stadion, Trondheim",2,1,1995-09-27 20:30:00+01:00
Legia Warsaw , Blackburn Rovers,group,"Polish Army Stadium, Warsaw",1,0,1995-10-18 20:30:00+01:00
Rosenborg , Spartak Moscow,group,"Lerkendal Stadion, Trondheim",2,4,1995-10-18 20:30:00+01:00
Blackburn Rovers , Legia Warsaw,group,"Ewood Park, Blackburn",0,0,1995-11-01 19:30:00+01:00
Spartak Moscow , Rosenborg,group,"Luzhniki Stadium, Moscow",4,1,1995-11-01 20:30:00+01:00
Rosenborg , Legia Warsaw,group,"Lerkendal Stadion, Trondheim",4,0,1995-11-22 20:30:00+01:00
Spartak Moscow , Blackburn Rovers,group,"Luzhniki Stadium, Moscow",3,0,1995-11-22 20:30:00+01:00
Legia Warsaw , Spartak Moscow,group,"Polish Army Stadium, Warsaw",0,1,1995-12-06 20:30:00+01:00
Blackburn Rovers , Rosenborg,group,"Ewood Park, Blackburn",4,1,1995-12-06 19:30:00+01:00
Steaua București , Rangers,group,"Stadionul Steaua, Bucharest",1,0,1995-09-13 21:30:00+02:00
Borussia Dortmund , Juventus,group,"Westfalenstadion, Dortmund",1,3,1995-09-13 20:30:00+02:00
Juventus , Steaua București,group,"Stadio delle Alpi, Turin",3,0,1995-09-27 20:30:00+01:00
Rangers , Borussia Dortmund,group,"Ibrox Stadium, Glasgow",2,2,1995-09-27 19:30:00+01:00
Borussia Dortmund , Steaua București,group,"Westfalenstadion, Dortmund",1,0,1995-10-18 20:30:00+01:00
